species,sal,temp,source,data_original_or_derived_from_plots_figures,location,name,value
Benedenia seriolae,35,17.5,Tubbs et al. 2005,page 4 in text for time to 1st hatch; time to last hatch taken from Figure on page 5,New Zealand,time_1st_hatch,9.5
Benedenia seriolae,35,17.5,Tubbs et al. 2005,page 4 in text for time to 1st hatch; time to last hatch taken from Figure on page 5,New Zealand,time_last_hatch,14
Zeuxapta seriolae,45,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,6
Zeuxapta seriolae,45,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,7
Zeuxapta seriolae,45,28,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,1
Zeuxapta seriolae,40,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,24
Zeuxapta seriolae,40,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,30
Zeuxapta seriolae,40,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,onco_longe,4.458333333333333
Zeuxapta seriolae,40,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,13
Zeuxapta seriolae,35,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,24
Zeuxapta seriolae,35,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,31
Zeuxapta seriolae,35,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,18
Zeuxapta seriolae,45,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,27
Zeuxapta seriolae,45,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,30
Zeuxapta seriolae,45,10,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,hatch_success,18
Zeuxapta seriolae,45,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_1st_hatch,19
Zeuxapta seriolae,45,13,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,time_last_hatch,23
